电影:天书奇谭	分数:9.2	发行年份:1983	电影时长:100分钟(中国大陆重映)	地区:中国大陆	电影导演:王树忱 钱运达	电影主演:丁建华 / 毕克 / 苏秀
电影:007：无暇赴死	分数:6.9	发行年份:2021	电影时长:164分钟	地区:英国 美国	电影导演:凯瑞·福永	电影主演:丹尼尔·克雷格 / 拉米·马雷克 / 蕾雅·赛杜
电影:扬名立万	分数:0	发行年份:2021	电影时长:123分钟	地区:中国大陆	电影导演:刘循子墨	电影主演:尹正 / 邓家佳 / 喻恩泰
电影:梅艳芳	分数:0	发行年份:2021	电影时长:137分钟	地区:中国香港	电影导演:梁乐民	电影主演:王丹妮 / 古天乐 / 林家栋
电影:沙丘	分数:7.8	发行年份:2021	电影时长:156分钟	地区:美国	电影导演:丹尼斯·维伦纽瓦	电影主演:蒂莫西·柴勒梅德 / 丽贝卡·弗格森 / 奥斯卡·伊萨克
电影:入殓师	分数:8.9	发行年份:2008	电影时长:130分钟	地区:日本	电影导演:泷田洋二郎	电影主演:本木雅弘 / 广末凉子 / 山崎努
电影:不老奇事	分数:6.1	发行年份:2021	电影时长:136分钟	地区:中国大陆	电影导演:徐超	电影主演:王传君 / 王珞丹 / 李婷婷
电影:不速来客	分数:7.0	发行年份:2021	电影时长:107分钟	地区:中国大陆	电影导演:刘翔	电影主演:范伟 / 窦骁 / 张颂文
电影:特种部队：蛇眼起源	分数:4.3	发行年份:2021	电影时长:122分钟	地区:加拿大 美国	电影导演:罗伯特·斯文克	电影主演:亨利·戈尔丁 / 安德鲁·浩二 / 伊科·乌艾斯
电影:第一炉香	分数:5.5	发行年份:2020	电影时长:144分钟	地区:中国大陆	电影导演:许鞍华	电影主演:马思纯 / 俞飞鸿 / 彭于晏
电影:长津湖	分数:7.4	发行年份:2021	电影时长:176分钟	地区:中国大陆 中国香港	电影导演:陈凯歌 徐克 林超贤	电影主演:吴京 / 易烊千玺 / 段奕宏
电影:乌海	分数:6.0	发行年份:2020	电影时长:102分钟	地区:中国大陆	电影导演:周子阳	电影主演:黄轩 / 杨子姗 / 涂们
电影:五个扑水的少年	分数:7.3	发行年份:2021	电影时长:111分钟	地区:中国大陆	电影导演:宋灏霖	电影主演:辛云来 / 冯祥琨 / 李孝谦
